target,model,severity,AUROC,AUPRC,Brier,ECE,Precision,Recall,F1
dropout,baseline_all_features,0.0,0.8927392074005591,0.8240145203902655,0.12563161501324185,0.10504917000922222,0.719170607493634,0.7817319098457889,0.7491474043198181
dropout,baseline_all_features,0.05,0.8912817720140322,0.8220603568706353,0.12627033797228668,0.10516911317021886,0.7168302435478008,0.7797548438117833,0.746969696969697
dropout,baseline_all_features,0.1,0.890766714650974,0.8193128841240684,0.1268490120966602,0.1066394445432309,0.717391304347826,0.7829181494661922,0.7487237663074305
dropout,baseline_all_features,0.2,0.8888788980213861,0.8155839999286766,0.1284057613755241,0.10899166175006454,0.7178002894356006,0.7844998022933966,0.7496693746457586
dropout,baseline_all_features,0.3,0.8846793212964488,0.8087183101963131,0.13178696318575836,0.1141794558967867,0.7037822552138565,0.7872676947410043,0.7431877566256065
dropout,baseline_all_features,0.4,0.8797533662891245,0.8041378676706825,0.13610423904763258,0.12063333193741484,0.6846444520783236,0.7880585211546066,0.7327205882352941
dropout,stable_causal_features,0.0,0.8927434288938703,0.8256520240998547,0.1118768178169513,0.011982027146958608,0.7953929539295393,0.6963226571767497,0.7425679949399114
dropout,stable_causal_features,0.05,0.891727315453902,0.822761051064945,0.11248335026819578,0.017601067758751594,0.7964721845318861,0.6963226571767497,0.7430379746835443
dropout,stable_causal_features,0.1,0.8910893422772705,0.8196113184816975,0.11299902654537937,0.0171558953273025,0.7920215150156881,0.6986951364175563,0.742436974789916
dropout,stable_causal_features,0.2,0.8884728255439747,0.8155738266853955,0.1139871861527068,0.0170761910317646,0.7914414414414415,0.6947410043495452,0.7399452516319225
dropout,stable_causal_features,0.3,0.883049719341053,0.807054133422352,0.1164130081912243,0.02000050711162418,0.7868705035971223,0.6919731119019376,0.7363770250368189
dropout,stable_causal_features,0.4,0.8790283248129527,0.8025033262003802,0.11868870965563257,0.023218327747580536,0.7785087719298246,0.7018584420719652,0.7381992098149304
failure,baseline_all_features,0.0,0.7622369577540141,0.4441962416927785,0.19892234619848845,0.2201459414617886,0.37168640721940216,0.7433728144388043,0.4955818762925362
failure,baseline_all_features,0.05,0.7597157381636297,0.4449411818713432,0.20286386419660157,0.22849046501927261,0.3647902869757174,0.745628877608573,0.4899017972947934
failure,baseline_all_features,0.1,0.7551145776498304,0.4389602372355247,0.2047834463277377,0.23051183241566808,0.3583061889250814,0.7445008460236887,0.4837822979659153
failure,baseline_all_features,0.2,0.7468742503083686,0.4286343760969311,0.2078672173736073,0.23325303808775347,0.35532720389399675,0.7411167512690355,0.4803509413269969
failure,baseline_all_features,0.3,0.7380345677282477,0.41792764185555775,0.21108016623470563,0.23596062777082327,0.350187265917603,0.7382966723068246,0.4750499001996008
failure,baseline_all_features,0.4,0.7288513981151823,0.4108708614721278,0.2123397910939141,0.23428213759728306,0.3448088912984549,0.7174280879864636,0.46576345660930063
failure,stable_causal_features,0.0,0.7649675160164209,0.4470167152772399,0.14470642806524886,0.011229698253124103,0.572354211663067,0.14946418499717992,0.2370304114490161
failure,stable_causal_features,0.05,0.7609999886772238,0.44225157966097217,0.14540765594783453,0.009280651630820083,0.5717439293598234,0.1460800902425268,0.23270440251572327
failure,stable_causal_features,0.1,0.7571884591187624,0.4380268612626693,0.14614312124965595,0.009725182746670204,0.581986143187067,0.14213197969543148,0.22846781504986402
failure,stable_causal_features,0.2,0.7472945199178249,0.43129655996531213,0.14776036523483932,0.005346311391244953,0.5534441805225653,0.1314156796390299,0.2123974475843209
failure,stable_causal_features,0.3,0.734718321171964,0.4148699467744691,0.15029343472443968,0.009998185688134549,0.5475113122171946,0.13649182177100957,0.218510158013544
failure,stable_causal_features,0.4,0.7269033498433565,0.41920095463309287,0.15106212262974225,0.015559298760259722,0.5687203791469194,0.1353637901861252,0.21867881548974943
