student_course_id,dropout_true,failure_true,dropout_risk,failure_risk,risk_segment,any_risk_true
28400_AAA_2013J,0,0,0.08399452629914043,0.0724987372672593,Low dropout / Low failure,0
30268_AAA_2013J,1,0,0.777648050103442,0.24585219341714898,High dropout / Low failure,1
38053_AAA_2013J,0,0,0.06684398477052512,0.0518129055793493,Low dropout / Low failure,0
45462_AAA_2013J,0,0,0.07697168326567148,0.09644321145377967,Low dropout / Low failure,0
52130_AAA_2013J,0,0,0.07128165137373706,0.06579407417076213,Low dropout / Low failure,0
57506_AAA_2013J,0,0,0.0702199802722991,0.07400340473239696,Low dropout / Low failure,0
59185_AAA_2013J,0,0,0.08664160421393526,0.13477185161541588,Low dropout / Low failure,0
63400_AAA_2013J,0,0,0.0831942441869788,0.08699751593246376,Low dropout / Low failure,0
75091_AAA_2013J,0,0,0.05109786160198468,0.09930408470670082,Low dropout / Low failure,0
101781_AAA_2013J,0,0,0.08882525190216906,0.04493806606068053,Low dropout / Low failure,0
102806_AAA_2013J,0,0,0.048698606783171346,0.030863554589554424,Low dropout / Low failure,0
137873_AAA_2013J,0,0,0.049503284504574474,0.028919265112423705,Low dropout / Low failure,0
142326_AAA_2013J,0,0,0.07094844405308612,0.07193022173953974,Low dropout / Low failure,0
148993_AAA_2013J,1,0,0.10315400299380843,0.041732945524304725,Low dropout / Low failure,1
175932_AAA_2013J,0,0,0.05445245142518708,0.035493086280789905,Low dropout / Low failure,0
180753_AAA_2013J,0,0,0.06933587431924007,0.07921001808697328,Low dropout / Low failure,0
181316_AAA_2013J,1,0,0.4568192313974769,0.232968202147425,Low dropout / Low failure,1
187100_AAA_2013J,0,0,0.08346790966768139,0.01367801546247347,Low dropout / Low failure,0
188278_AAA_2013J,1,0,0.5949889024058072,0.14677988489305133,High dropout / Low failure,1
195262_AAA_2013J,1,0,0.6579046692564247,0.313008763356988,High dropout / Low failure,1
202635_AAA_2013J,1,0,0.1614776115348282,0.14178610287478172,Low dropout / Low failure,1
205350_AAA_2013J,0,0,0.06769928751353067,0.07739539877323856,Low dropout / Low failure,0
238007_AAA_2013J,0,0,0.05069899081505913,0.03853486009662953,Low dropout / Low failure,0
240884_AAA_2013J,0,0,0.08929144939992131,0.2056833604749692,Low dropout / Low failure,0
246834_AAA_2013J,0,0,0.14870359529507518,0.15331079525497512,Low dropout / Low failure,0
248270_AAA_2013J,0,0,0.05286950087544252,0.08880321507293172,Low dropout / Low failure,0
268733_AAA_2013J,1,0,0.49852880190065424,0.4392332389830799,Low dropout / Low failure,1
286488_AAA_2013J,0,0,0.12137331164487342,0.1640789878535689,Low dropout / Low failure,0
293699_AAA_2013J,0,0,0.2786567374531192,0.4165489418601489,Low dropout / Low failure,0
296332_AAA_2013J,0,0,0.03190007502240124,0.02574074111473915,Low dropout / Low failure,0
298696_AAA_2013J,0,0,0.08427612551066704,0.09971891040745305,Low dropout / Low failure,0
307866_AAA_2013J,0,0,0.13319827374146792,0.18379004751973943,Low dropout / Low failure,0
333059_AAA_2013J,0,0,0.128004692817728,0.2488864310540876,Low dropout / Low failure,0
333323_AAA_2013J,0,0,0.0763149198661303,0.21879679259165133,Low dropout / Low failure,0
334259_AAA_2013J,0,1,0.3243650818671723,0.35071190989709033,Low dropout / Low failure,1
334333_AAA_2013J,1,0,0.7262492928371972,0.21833058206614442,High dropout / Low failure,1
341872_AAA_2013J,0,1,0.23061709423294502,0.4002474250067008,Low dropout / Low failure,1
346025_AAA_2013J,0,0,0.048988359848443117,0.05451467542960603,Low dropout / Low failure,0
350188_AAA_2013J,0,0,0.10389709306840277,0.09439428672667342,Low dropout / Low failure,0
368194_AAA_2013J,0,0,0.21283903263394485,0.31146276872975864,Low dropout / Low failure,0
368824_AAA_2013J,0,1,0.09045635070565151,0.300865178813891,Low dropout / Low failure,1
376581_AAA_2013J,0,0,0.08257302042428781,0.07777389043280408,Low dropout / Low failure,0
386952_AAA_2013J,0,0,0.0988069111579242,0.10612029860738396,Low dropout / Low failure,0
392756_AAA_2013J,0,1,0.27063873347605355,0.3677834813501934,Low dropout / Low failure,1
392931_AAA_2013J,0,0,0.11842711071692734,0.14370376911349733,Low dropout / Low failure,0
393207_AAA_2013J,0,0,0.08030638433443606,0.15187032700542477,Low dropout / Low failure,0
398552_AAA_2013J,0,1,0.15387913847971743,0.19811279984905153,Low dropout / Low failure,1
404804_AAA_2013J,0,0,0.27013848882636593,0.34521026475565897,Low dropout / Low failure,0
414117_AAA_2013J,0,0,0.07970953259575804,0.053322335408706,Low dropout / Low failure,0
429958_AAA_2013J,0,0,0.10499268970682556,0.3161089881083424,Low dropout / Low failure,0
495284_AAA_2013J,0,0,0.0972858553648245,0.13645898690143168,Low dropout / Low failure,0
498857_AAA_2013J,0,0,0.054838959280926414,0.04525504594747941,Low dropout / Low failure,0
508818_AAA_2013J,0,0,0.07929342134092741,0.08926589124304656,Low dropout / Low failure,0
550383_AAA_2013J,0,0,0.11675207828669353,0.17654514114057185,Low dropout / Low failure,0
